Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Money Market )


Taurus Mutual Fund
139619;Taurus Investor Education Pool - Unclaimed Dividend - Growth;;;10.0000;;;01-Apr-2026
139618;Taurus Investor Education Pool - Unclaimed Redemption - Growth;;;10.0000;;;01-Apr-2026
139617;Taurus Unclaimed Redemption - Growth;;;17.5169;;;01-Apr-2026

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Aditya Birla Sun Life Mutual Fund
148921;Aditya Birla Sun Life Multi-Cap Fund-Direct Growth;INF209KB1Y49;;19.05;;;01-Apr-2026
148920;Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout;INF209KB1Y56;;16.86;;;01-Apr-2026
148918;Aditya Birla Sun Life Multi-Cap Fund-Regular Growth;INF209KB1Y23;;17.82;;;01-Apr-2026
148919;Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout;INF209KB1Y31;;15.77;;;01-Apr-2026

Bajaj Finserv Mutual Fund
153309;BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH;INF0QA701AV7;;10.468;;;01-Apr-2026
153306;BAJAJ FINSERV MULTI CAP FUND - DIRECT - IDCW;INF0QA701AW5;INF0QA701AX3;10.468;;;01-Apr-2026
153307;BAJAJ FINSERV MULTI CAP FUND - REGULAR - GROWTH;INF0QA701AS3;;10.294;;;01-Apr-2026
153308;BAJAJ FINSERV MULTI CAP FUND - REGULAR - IDCW;INF0QA701AT1;INF0QA701AU9;10.294;;;01-Apr-2026

Bank of India Mutual Fund
151443;Bank of India Multi Cap Fund Direct Plan - Growth;INF761K01FR0;;17.61;;;01-Apr-2026
151444;Bank of India Multi Cap Fund Direct Plan - IDCW;INF761K01FQ2;INF761K01FS8;17.58;;;01-Apr-2026
151445;Bank of India Multi Cap Fund Regular Plan - Growth;INF761K01FU4;;17.01;;;01-Apr-2026
151446;Bank of India Multi Cap Fund Regular Plan - IDCW;INF761K01FT6;INF761K01FV2;17.01;;;01-Apr-2026

Canara Robeco Mutual Fund
151824;Canara Robeco Multi Cap Fund - Direct Plan - Growth Option;INF760K01KO9;;13.6200;;;01-Apr-2026
151822;Canara Robeco Multi Cap Fund - Direct Plan - IDCW Option;INF760K01KQ4;INF760K01KP6;12.8100;;;01-Apr-2026
151821;Canara Robeco Multi Cap Fund - Regular Plan - Growth Option;INF760K01KR2;;13.1100;;;01-Apr-2026
151823;Canara Robeco Multi Cap Fund - Regular Plan - IDCW Option;INF760K01KT8;INF760K01KS0;12.3200;;;01-Apr-2026

Groww Mutual Fund
153034;Groww Multicap Fund - Direct - Growth;INF666M01JD9;;9.8893;;;01-Apr-2026
153098;Groww Multicap Fund - Direct - IDCW;INF666M01JE7;INF666M01JF4;9.8893;;;01-Apr-2026
153100;Groww Multicap Fund - Regular - Growth;INF666M01JG2;;9.6567;;;01-Apr-2026
153099;Groww Multicap Fund - Regular - IDCW;INF666M01JH0;INF666M01JI8;9.6633;;;01-Apr-2026

HSBC Mutual Fund
151290;HSBC Multi Cap Fund - Direct - Growth;INF336L01QN5;;17.7949;;;01-Apr-2026
